frame,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z
1,-0.0,-0.0,-0.0,-0.5993733,0.46262962,1.0332197,0.3114425,0.19493982,1.2467048,-0.26605803,0.010294805,-0.04550001,-0.035120346,0.3278231,-0.95003927,0.19781718,-0.1336306,-1.760637,0.34003142,0.03545922,-2.0555382,0.26605803,-0.010294805,0.04550001,0.060541566,-0.49386647,-0.63650185,-0.34254497,-1.583487,-0.8441182,-0.425028,-1.5690659,-1.1228514
2,-0.0,-0.0,-0.0,-0.57001424,0.55566376,1.012116,0.31199518,0.36098558,1.2538033,-0.2636073,-0.01992438,-0.04809829,-0.036992613,0.16160057,-1.0089018,0.19637337,-0.29011074,-1.7931579,0.34108162,-0.23728058,-2.0665193,0.2636073,0.01992438,0.04809829,0.20078011,0.0522311,-0.6639921,0.15383603,-1.0996702,-0.7928184,0.14216276,-1.2203388,-0.9319806
3,-0.0,-0.0,-0.0,-0.52211684,0.6175747,0.9540254,0.31695256,0.42441416,1.2504622,-0.26081145,-0.032238156,-0.048580218,-0.048772845,0.2270197,-0.97682303,0.19436544,-0.11897986,-1.7812196,0.31635615,-0.11262019,-2.052473,0.26081145,0.032238156,0.048580218,0.3229245,0.121142045,-0.7085932,0.25769687,-0.98635286,-0.7944534,0.230616,-1.0745523,-0.95786786
4,-0.0,-0.0,-0.0,-0.52021515,0.56608415,0.9542379,0.31530297,0.4044031,1.2538404,-0.26138875,-0.031954665,-0.048678692,-0.068596184,0.46680146,-0.8722199,0.13258603,-0.10617675,-1.5661582,0.30852187,-0.090825066,-1.8589269,0.26138875,0.031954665,0.048678692,0.43146846,0.11739645,-0.76775205,0.15022387,-1.0289911,-0.91917604,0.1013575,-1.0924196,-1.1239179
5,-0.0,-0.0,-0.0,-0.5222154,0.5194939,0.9619625,0.3038226,0.37445527,1.2559497,-0.26178685,-0.032012172,-0.045759525,-0.20339668,0.80165875,-0.74018794,0.07050723,0.064068034,-1.4030427,0.24984534,0.0494039,-1.6912019,0.26178685,0.032012172,0.045759525,0.41061515,0.088958815,-0.8119147,0.20148522,-1.0698323,-1.0372152,0.18648143,-1.0759184,-1.2525622
6,-0.0,-0.0,-0.0,-0.5200357,0.62275815,0.965959,0.307087,0.43965244,1.2548008,-0.26258802,-0.0334759,-0.045377944,-0.19198118,0.68816876,-0.7879049,0.04261057,-0.07240055,-1.477779,0.18901443,-0.13352367,-1.7674341,0.26258802,0.0334759,0.045377944,0.41641104,0.018031552,-0.79204667,0.48277438,-0.9466717,-1.4087917,0.55079806,-0.82451326,-1.6211507
7,-0.0,-0.0,-0.0,-0.52460355,0.6550061,0.9700846,0.3064158,0.46429837,1.254778,-0.26465547,-0.041060522,-0.044634286,-0.1729425,0.63912004,-0.79629594,0.0017807877,-0.37030002,-1.5041456,0.13036226,-0.42050186,-1.7956003,0.26465547,0.041060522,0.044634286,0.382371,-0.031164141,-0.7816569,0.52602416,-0.8698568,-1.5897645,0.58489335,-0.7105879,-1.7821406
8,-0.0,-0.0,-0.0,-0.51564026,0.69248194,0.992498,0.30242726,0.4990269,1.2495383,-0.26467106,-0.058976155,-0.040962674,-0.1629539,0.11919636,-0.88483214,-0.050668985,-0.9040327,-1.5143747,0.078918256,-1.0025336,-1.7961452,0.26467106,0.058976155,0.040962674,0.3770645,0.03302036,-0.78433526,0.52596736,-0.47357023,-1.7219274,0.570816,-0.24396996,-1.9058859
9,-0.0,-0.0,-0.0,-0.50703406,0.7141377,0.982277,0.3019928,0.5494568,1.2131873,-0.26469874,-0.07704329,-0.037912503,-0.15677054,-0.045667898,-0.90208083,-0.08745017,-1.1050452,-1.4100788,0.04090295,-1.2272499,-1.6517909,0.26469874,0.07704329,0.037912503,0.32185695,0.06792937,-0.78787744,0.48041594,-0.3381591,-1.761274,0.51478744,-0.0715427,-1.9298743
10,-0.0,-0.0,-0.0,-0.4901093,0.7403108,1.0036063,0.30306092,0.58632624,1.2053727,-0.26439288,-0.09382975,-0.023435205,-0.15558577,-0.4037892,-0.91531044,-0.10950458,-1.4301319,-1.4261379,-0.036656044,-1.4899865,-1.6257378,0.26439288,0.09382975,0.023435205,0.2936657,0.1915394,-0.7927247,0.4044402,0.08673851,-1.8245789,0.42882305,0.45264488,-1.9230027
11,-0.0,-0.0,-0.0,-0.46217978,0.73684365,1.0042806,0.3192441,0.5746812,1.2053919,-0.26357958,-0.0969843,-0.017646972,-0.15483238,-0.26359373,-0.8907954,-0.123359926,-1.3384818,-1.2709618,-0.008709006,-1.4619511,-1.4514359,0.26357958,0.0969843,0.017646972,0.25962988,0.12885936,-0.7952659,0.36449334,-0.15512899,-1.8387188,0.38471267,0.13578904,-1.9889019
12,-0.0,-0.0,-0.0,-0.46959558,0.75197124,1.0039936,0.31906217,0.584082,1.201904,-0.263395,-0.09599929,-0.014354605,-0.15233622,-0.28096735,-0.841614,-0.14681178,-1.4165694,-1.1293154,-0.026570247,-1.5890152,-1.3347452,0.263395,0.09599929,0.014354605,0.22249612,0.093370125,-0.7991312,0.33737883,-0.2895239,-1.8258172,0.37394947,-0.03766262,-2.0157504
13,-0.0,-0.0,-0.0,-0.4651294,0.74742335,1.0046507,0.3341965,0.5754249,1.2020264,-0.26342243,-0.09387985,-0.0113197,-0.1563074,-0.30000705,-0.8384484,-0.14551854,-1.4888256,-1.0863593,-0.01462055,-1.6875409,-1.3083259,0.26342243,0.09387985,0.011319699,0.20862556,0.076624945,-0.79679185,0.27114627,-0.35634243,-1.785639,0.30564368,-0.13096412,-1.9880275
14,-0.0,-0.0,-0.0,-0.46875146,0.7641109,1.006004,0.33867094,0.5864311,1.1910903,-0.26334774,-0.0920829,-0.003349628,-0.24804847,-0.27918798,-0.75649774,-0.16678575,-1.2877864,-0.95258915,-0.020670744,-1.506007,-1.1914932,0.26334774,0.0920829,0.0033496276,0.17139666,0.036111657,-0.8032805,0.17212903,-0.38593474,-1.7623633,0.2078807,-0.13653724,-1.9656688
15,-0.0,-0.0,-0.0,-0.47148198,0.75545174,1.0204263,0.3377437,0.5850382,1.1821185,-0.26185623,-0.091768675,-0.0016397731,-0.2800788,-0.23949404,-0.81015474,-0.17646302,-1.2455634,-0.80477756,-0.02150447,-1.5068045,-0.98464733,0.26185623,0.091768675,0.0016397731,0.13584262,0.05711231,-0.76782805,0.11195713,-0.4369965,-1.7124604,0.10829487,-0.19580987,-1.9302409
16,-0.0,-0.0,-0.0,-0.47319165,0.7527569,1.0480596,0.33702096,0.5750801,1.1814778,-0.2601534,-0.09063261,0.0009798199,-0.29824603,-0.03554095,-0.82270056,-0.2030387,-1.179182,-0.6893359,-0.046327118,-1.4177617,-0.8434449,0.2601534,0.09063261,-0.0009798197,0.14792113,-0.055498365,-0.77197677,0.10789761,-0.70262265,-1.6887993,0.07639784,-0.5888772,-1.9224733
17,-0.0,-0.0,-0.0,-0.46780235,0.7084058,1.0739003,0.33792087,0.57348096,1.1816015,-0.2589288,-0.08757529,0.0032639673,-0.28579766,0.12627482,-0.8305809,-0.21750677,-1.1463155,-0.6142979,-0.062153183,-1.3703904,-0.75294006,0.2589288,0.08757529,-0.003263967,0.1489365,-0.0844229,-0.773055,0.12239984,-0.85657287,-1.632817,0.09447316,-0.8023005,-1.9152287
18,-0.0,-0.0,-0.0,-0.45750543,0.5683955,1.0983931,0.36380932,0.5003706,1.1787044,-0.2668883,-0.090559445,0.0023618583,-0.28845763,0.11226531,-0.9776584,-0.27707934,-1.0551685,-1.3534096,-0.1712955,-1.1839024,-1.5920522,0.2668883,0.090559445,-0.0023618587,0.17078602,-0.032650255,-0.7662507,0.13269609,-0.7865633,-1.573511,0.10116881,-0.67671454,-1.8172405
19,-0.0,-0.0,-0.0,-0.4544995,0.58039784,1.0927416,0.38749275,0.5130833,1.16165,-0.27244225,-0.09173168,0.002107662,-0.28336114,0.072016075,-0.9769633,-0.26848775,-0.98716074,-1.5562925,-0.15282285,-1.0239749,-1.8078916,0.27244225,0.09173168,-0.0021076621,0.1717813,-0.08002837,-0.7605407,0.13915646,-0.86876607,-1.5517505,0.16063426,-0.73810107,-1.7549335
20,-0.0,-0.0,-0.0,-0.4548923,0.52319384,1.1090252,0.3846808,0.4718399,1.1634842,-0.27567983,-0.093425825,0.0017103815,-0.32497627,0.06326055,-0.970638,-0.29480112,-0.90514046,-1.6240392,-0.2173966,-0.9332788,-1.8913553,0.27567983,0.093425825,-0.0017103815,0.16665871,-0.05011471,-0.72598094,0.13596363,-0.87711775,-1.4414376,0.16496876,-0.7849447,-1.6347438
21,-0.0,-0.0,-0.0,-0.45260778,0.52951515,1.1103672,0.39029953,0.46650037,1.1650262,-0.2756168,-0.09262869,0.0014305033,-0.34206077,0.06988055,-0.9628757,-0.30364305,-0.6357019,-1.6690713,-0.25583676,-0.59169525,-1.9205434,0.2756168,0.09262869,-0.0014305033,0.15914138,-0.106342636,-0.72739345,0.1375061,-1.1030575,-1.3850471,0.18223688,-1.0389766,-1.5813056
22,-0.0,-0.0,-0.0,-0.42431605,0.61339104,1.107198,0.40587777,0.56963646,1.1515328,-0.27104303,-0.083958425,0.0007911353,-0.33130223,0.12179215,-1.0040901,-0.2896188,-0.2651451,-1.8420051,-0.22908063,-0.11656205,-2.0752988,0.27104303,0.083958425,-0.0007911353,0.17420799,-0.2157752,-0.72803664,0.2473467,-1.1783817,-1.3102307,0.3097406,-1.0789303,-1.5113599
