frame,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z
15,-0.0,-0.0,-0.0,-0.5100502,0.7748225,1.0495799,0.3485053,0.6041963,1.2293192,-0.2654447,-0.11383313,-0.01114359,-0.16387515,-0.265656,-0.9051114,-0.13575916,-0.97836673,-1.5944408,-0.05491892,-0.9453447,-1.8183787,0.2654447,0.11383313,0.01114359,0.1397919,0.06596831,-0.7941096,0.17123775,-0.35743812,-1.8159823,0.08304641,-0.09964484,-2.020004
16,-0.0,-0.0,-0.0,-0.47193116,0.76731974,0.98382366,0.36405572,0.6434482,1.1779505,-0.24904603,-0.11428813,0.049857438,-0.20188352,-0.089021824,0.2648855,-0.09249371,-0.33970702,0.40459716,0.111052416,-0.31742275,0.5993052,0.24904603,0.11428813,-0.049857438,0.033811968,0.031577855,-0.87324744,-0.0103622405,-0.5489205,-1.8924903,-0.15254296,-0.33958095,-2.0272832
17,-0.0,-0.0,-0.0,-0.45470977,0.7936667,0.9938339,0.3823679,0.63951075,1.1856806,-0.2504335,-0.11272873,0.0428523,-0.17543256,-0.25931484,-0.17841752,-0.09504136,-1.2270151,-0.760458,0.090857856,-1.3430724,-0.8628294,0.2504335,0.11272873,-0.0428523,0.05485143,-0.0006148797,-0.85354733,-0.0076651755,-0.60093385,-1.7720437,-0.07240964,-0.4227747,-1.9567822
18,-0.0,-0.0,-0.0,-0.44886172,0.775171,1.0012845,0.3944534,0.6282346,1.1829741,-0.25079077,-0.11153776,0.052394155,-0.26401356,-0.11085045,-0.092802845,-0.0642402,-1.102499,-0.06288071,0.17796366,-1.0533271,-0.07830564,0.25079077,0.11153776,-0.052394155,0.06617321,-0.022064414,-0.85162365,-0.053324405,-0.6206141,-1.7508713,-0.13995151,-0.4787674,-1.9540386
19,-0.0,-0.0,-0.0,-0.45300665,0.7819586,1.0042853,0.3963346,0.6348112,1.1750352,-0.25146124,-0.110615924,0.04335037,-0.25797287,-0.107155085,-0.8061198,-0.21732722,-0.8567926,-1.6320013,-0.054238748,-0.73578495,-1.8942188,0.25146124,0.110615924,-0.04335037,0.07295037,0.047003422,-0.8408008,-0.0155148385,-0.42706737,-1.8002465,-0.074204,-0.19762291,-2.0144722
20,-0.0,-0.0,-0.0,-0.45487738,0.8275168,1.0077014,0.39533377,0.67086893,1.1582123,-0.2522642,-0.10845632,0.04125834,-0.22460525,-0.30907497,-0.8234914,-0.20558089,-1.4189523,-1.0095661,-0.022760045,-1.5860616,-1.1564865,0.2522642,0.10845632,-0.04125834,0.08518972,0.027639907,-0.83295953,0.0025553051,-0.54764074,-1.7670166,-0.043575216,-0.34763247,-1.9913962
21,-0.0,-0.0,-0.0,-0.4557382,0.83025545,1.0095804,0.39476824,0.68747836,1.1576879,-0.25289384,-0.1052318,0.03932643,-0.23139289,-0.19339766,-0.86249775,-0.21751821,-1.3082906,-0.6360895,-0.017480662,-1.5284114,-0.7253273,0.25289384,0.1052318,-0.03932643,0.08885109,-0.049301345,-0.83597887,0.0073549016,-0.8250406,-1.7634771,-0.042350497,-0.71507496,-1.971736
22,-0.0,-0.0,-0.0,-0.45782086,0.8103369,1.0551028,0.3934713,0.66441524,1.159736,-0.25451404,-0.10482477,0.035354577,-0.23083799,-0.13184656,-0.89437187,-0.21318217,-1.2374867,-0.8790335,-0.0027901102,-1.4035665,-1.1100088,0.25451404,0.10482477,-0.035354577,0.091891885,-0.036294922,-0.81404406,0.045623966,-0.80726236,-1.7359905,0.0009708598,-0.67756873,-1.9599127
23,-0.0,-0.0,-0.0,-0.45959866,0.7737823,1.0927079,0.40207914,0.6633137,1.1603341,-0.25856397,-0.10519332,0.033569828,-0.2453182,-0.09241766,-0.8689086,-0.28963307,-1.170826,-1.3149918,-0.20589103,-1.2847598,-1.6152912,0.25856397,0.10519332,-0.033569828,0.11007904,0.041328013,-0.79762685,0.079768136,-0.7427051,-1.6562023,0.055382956,-0.59369075,-1.889579
24,-0.0,-0.0,-0.0,-0.461657,0.77018046,1.0916865,0.43189994,0.6541614,1.1637121,-0.26970214,-0.10372115,0.028210348,-0.30165985,0.062175613,-0.86665213,-0.34558034,-0.7306251,-1.6038605,-0.3008137,-0.66148305,-1.8732263,0.26970214,0.10372115,-0.028210348,0.14542982,0.0175128,-0.7869634,0.12035547,-0.82264376,-1.5633559,0.13272198,-0.6575858,-1.7775868
25,-0.0,-0.0,-0.0,-0.46382868,0.76298845,1.0875244,0.43084592,0.6487886,1.1670054,-0.2729398,-0.10434635,0.025078883,-0.33017918,0.043357287,-0.9301921,-0.3917107,-0.7863973,-1.7284992,-0.38212046,-0.7272996,-1.9866699,0.2729398,0.10434635,-0.025078883,0.14424197,-0.026064672,-0.7520255,0.1275156,-0.98286104,-1.462695,0.12589124,-0.84949243,-1.6717365
26,-0.0,-0.0,-0.0,-0.46418092,0.63363457,1.1196588,0.43124866,0.5233987,1.2073966,-0.27404618,-0.08925077,0.02191348,-0.36296436,0.078738034,-0.9359602,-0.4359013,-0.35009125,-1.7794042,-0.4709745,-0.18415141,-1.995149,0.27404618,0.08925077,-0.02191348,0.16841996,-0.36116722,-0.7526065,0.16540806,-1.4321785,-1.3620044,0.18939158,-1.3544954,-1.6012621
