frame,class,raw_id,stable_id,x,y,w,h,conf
908,person,65,1,621,288,68,154,0.9169845581054688
909,person,65,1,623,291,68,165,0.883388876914978
910,person,65,1,623,294,71,171,0.8850840330123901
911,person,65,1,624,297,72,173,0.8939099311828613
911,person,74,2,631,25,42,104,0.8154935836791992
912,person,65,1,625,300,72,174,0.9004648327827454
912,person,74,2,626,26,44,112,0.7774537801742554
913,person,65,1,626,304,74,174,0.907749354839325
913,person,74,2,613,28,52,124,0.8531387448310852
914,person,65,1,627,308,76,173,0.9116834998130798
914,person,74,2,606,30,55,129,0.8974506855010986
915,person,65,1,628,310,76,172,0.9079930186271667
915,person,74,2,603,32,55,130,0.879181444644928
916,person,65,1,630,313,73,169,0.9055490493774414
916,person,74,2,602,33,53,129,0.8864336609840393
917,person,65,1,632,316,70,166,0.9063378572463989
917,person,74,2,601,34,49,129,0.8793596029281616
918,person,65,1,633,319,67,163,0.9003702402114868
918,person,74,2,599,35,47,128,0.8886113166809082
919,person,65,1,635,321,64,162,0.9031224846839905
919,person,74,2,597,36,47,127,0.889295220375061
920,person,65,1,637,323,62,159,0.8792701363563538
920,person,74,2,594,36,48,126,0.8438641428947449
921,person,65,1,640,327,61,157,0.8892702460289001
921,person,74,2,586,39,52,128,0.8879510164260864
922,person,65,1,643,330,60,160,0.9003976583480835
922,person,74,2,580,41,56,130,0.9022099375724792
923,person,65,1,645,333,62,166,0.8769497275352478
923,person,74,2,575,44,59,130,0.8791618347167969
924,person,65,1,647,336,66,168,0.8708299994468689
924,person,74,2,571,46,61,132,0.8828437924385071
925,person,65,1,651,341,66,170,0.8827611207962036
925,person,74,2,570,50,59,134,0.8816148042678833
926,person,65,1,654,344,65,172,0.8698107600212097
926,person,74,2,570,53,57,135,0.8826314806938171
927,person,65,1,657,347,63,172,0.8751364350318909
927,person,74,2,569,55,56,137,0.8847001194953918
928,person,65,1,659,349,62,173,0.8890997171401978
928,person,74,2,568,57,55,137,0.8686679005622864
929,person,65,1,664,353,61,169,0.8840424418449402
929,person,74,2,564,60,57,135,0.8728043437004089
930,person,65,1,667,355,63,167,0.8843854069709778
930,person,74,2,561,61,59,134,0.8786985278129578
931,person,65,1,669,356,66,165,0.8927661776542664
931,person,74,2,560,63,60,133,0.8873624205589294
932,person,65,1,671,358,69,163,0.8840168118476868
932,person,74,2,558,64,61,132,0.911690354347229
933,person,65,1,673,363,73,161,0.8532032370567322
933,person,74,2,556,68,62,134,0.8920655250549316
934,person,65,1,675,366,76,165,0.8825041651725769
934,person,74,2,554,71,63,139,0.8751355409622192
935,person,65,1,677,369,79,173,0.9207507967948914
935,person,74,2,553,74,64,142,0.9080917239189148
936,person,65,1,679,372,80,179,0.9071041345596313
936,person,74,2,552,78,64,142,0.908939778804779
937,person,65,1,681,376,83,182,0.9073525667190552
937,person,74,2,550,83,66,142,0.8959898948669434
938,person,65,1,683,381,84,181,0.9184380173683167
938,person,74,2,550,87,65,142,0.8964195251464844
939,person,65,1,685,384,85,181,0.9173923134803772
939,person,74,2,550,89,65,144,0.8956090807914734
940,person,65,1,687,387,85,181,0.9104476571083069
940,person,74,2,549,91,66,143,0.9037748575210571
941,person,65,1,691,391,83,178,0.9169180393218994
941,person,74,2,548,94,67,141,0.9111132621765137
942,person,65,1,695,395,78,174,0.9129558205604553
942,person,74,2,547,96,68,140,0.9015543460845947
943,person,65,1,698,397,74,172,0.9043223261833191
943,person,74,2,547,98,68,138,0.9170178771018982
944,person,65,1,701,400,70,169,0.9011855125427246
944,person,74,2,547,99,68,137,0.9208937287330627
945,person,65,1,706,404,65,164,0.8822958469390869
945,person,74,2,547,103,68,140,0.8873539566993713
946,person,65,1,710,407,64,162,0.8599919080734253
946,person,74,2,548,106,67,144,0.8975731134414673
947,person,65,1,714,410,63,160,0.8902300000190735
947,person,74,2,550,109,66,147,0.895024836063385
948,person,65,1,718,413,63,165,0.8718328475952148
948,person,74,2,551,112,65,149,0.9017354846000671
949,person,65,1,724,418,69,173,0.877839982509613
949,person,74,2,552,118,66,148,0.8919254541397095
950,person,65,1,727,421,72,176,0.8939096331596375
950,person,74,2,552,122,67,150,0.8635177612304688
951,person,65,1,729,424,72,177,0.8767691254615784
951,person,74,2,552,126,68,149,0.9031400084495544
952,person,65,1,730,428,70,177,0.872930109500885
952,person,74,2,552,128,68,148,0.9051403403282166
953,person,65,1,731,432,69,176,0.8568363785743713
953,person,74,2,553,131,68,147,0.9026409387588501
954,person,65,1,741,435,60,174,0.8283424973487854
954,person,74,2,554,133,67,145,0.8965203166007996
955,person,65,1,747,437,58,172,0.8625481724739075
955,person,74,2,555,134,67,145,0.8937863707542419
956,person,65,1,747,440,63,169,0.8676711916923523
956,person,74,2,556,135,67,144,0.8958842754364014
957,person,65,1,754,444,67,165,0.8863686323165894
957,person,74,2,559,138,66,142,0.914946973323822
958,person,65,1,758,447,71,162,0.9109834432601929
958,person,74,2,560,142,67,143,0.8895542025566101
959,person,65,1,761,450,76,166,0.8923656344413757
959,person,74,2,562,146,67,146,0.8807368278503418
960,person,65,1,763,453,80,168,0.8772814273834229
960,person,74,2,563,149,67,148,0.8823949694633484
961,person,65,1,766,459,87,180,0.918298065662384
961,person,74,2,566,155,67,148,0.9059649705886841
962,person,65,1,768,463,91,184,0.9029747247695923
962,person,74,2,568,160,67,147,0.9087012410163879
963,person,65,1,771,467,93,186,0.908187985420227
963,person,74,2,570,162,67,151,0.8880454897880554
964,person,65,1,773,471,96,186,0.906561553478241
964,person,74,2,572,165,67,151,0.8854724168777466
965,person,65,1,778,477,97,184,0.921862006187439
965,person,74,2,574,168,69,150,0.8816091418266296
966,person,65,1,782,480,96,183,0.9139642715454102
966,person,74,2,576,170,70,148,0.8858218193054199
967,person,65,1,786,484,92,180,0.9140102863311768
967,person,74,2,577,173,71,145,0.8973322510719299
968,person,65,1,790,487,87,177,0.9098777770996094
968,person,74,2,579,174,71,144,0.8828161954879761
969,person,65,1,799,491,75,172,0.8703007698059082
969,person,74,2,581,177,71,146,0.9011065363883972
970,person,65,1,804,494,71,170,0.8818050622940063
970,person,74,2,584,180,71,149,0.8864541053771973
971,person,65,1,810,497,69,165,0.8724200129508972
971,person,74,2,586,184,71,154,0.8825371265411377
972,person,65,1,814,500,70,163,0.879863977432251
972,person,74,2,588,188,72,156,0.8932724595069885
973,person,65,1,820,505,77,172,0.8914936780929565
973,person,74,2,591,194,73,157,0.8752018213272095
974,person,65,1,822,509,86,177,0.8872441053390503
974,person,74,2,594,199,73,155,0.8947887420654297
975,person,65,1,824,512,93,180,0.8925877809524536
975,person,74,2,596,203,73,155,0.9002785086631775
976,person,65,1,825,515,96,182,0.8861525654792786
976,person,74,2,598,206,73,157,0.8903898000717163
977,person,65,1,826,520,96,181,0.8962962031364441
977,person,74,2,601,210,74,155,0.8983712196350098
978,person,65,1,829,523,94,181,0.8866136074066162
978,person,74,2,604,212,73,153,0.9065864086151123
979,person,65,1,834,526,89,178,0.8698331117630005
979,person,74,2,607,215,72,150,0.9013228416442871
980,person,65,1,841,529,83,175,0.8529615998268127
980,person,74,2,609,216,72,149,0.903051495552063
981,person,65,1,855,532,82,173,0.8808180093765259
981,person,74,2,612,220,73,146,0.9056013822555542
982,person,65,1,866,535,81,170,0.8983912467956543
982,person,74,2,615,223,72,147,0.8985978960990906
983,person,65,1,875,538,82,167,0.9105098247528076
983,person,74,2,618,225,72,153,0.9137927293777466
984,person,65,1,880,542,87,169,0.9044521450996399
984,person,74,2,620,229,73,155,0.8981438875198364
985,person,65,1,886,547,95,168,0.9248387217521667
985,person,74,2,624,235,77,155,0.9127209186553955
986,person,65,1,890,551,100,164,0.9193217754364014
986,person,74,2,628,240,76,155,0.9075572490692139
987,person,65,1,893,555,104,160,0.9245526790618896
987,person,74,2,632,243,73,157,0.9022714495658875
988,person,65,1,894,559,109,156,0.9192448258399963
988,person,74,2,635,246,71,159,0.8920968770980835
989,person,65,1,897,566,112,149,0.908435583114624
989,person,74,2,639,251,72,157,0.8835353255271912
990,person,65,1,899,570,114,145,0.9179905652999878
990,person,74,2,643,254,72,156,0.8644063472747803
991,person,65,1,903,574,110,140,0.9087839126586914
991,person,74,2,645,257,74,153,0.8818279504776001
992,person,65,1,911,577,102,137,0.9001815319061279
992,person,74,2,648,259,73,151,0.9032443165779114
993,person,65,1,924,584,86,130,0.8829584717750549
993,person,74,2,651,264,75,148,0.9051508903503418
994,person,65,1,933,588,74,127,0.8972871899604797
994,person,74,2,653,267,77,153,0.8906108140945435
995,person,65,1,939,592,69,123,0.9070070385932922
995,person,74,2,656,270,78,159,0.9001849889755249
996,person,65,1,945,595,69,120,0.887578547000885
996,person,74,2,658,274,79,163,0.8991852402687073
997,person,65,1,954,600,67,115,0.8971800804138184
997,person,74,2,662,282,80,164,0.8877675533294678
998,person,65,1,961,605,65,110,0.8623337745666504
998,person,74,2,665,287,81,165,0.8937850594520569
999,person,65,1,967,610,64,104,0.8661186695098877
999,person,74,2,667,292,81,166,0.8870813250541687
1000,person,65,1,971,614,64,101,0.8829671144485474
1000,person,74,2,670,296,80,168,0.9076507687568665
1001,person,65,1,980,619,64,95,0.8726443648338318
1001,person,74,2,674,302,80,165,0.8880711197853088
1002,person,65,1,989,624,62,91,0.8429247140884399
1002,person,74,2,677,306,81,164,0.897767186164856
1003,person,65,1,997,627,60,87,0.8545240759849548
1003,person,74,2,680,308,80,162,0.8943771123886108
1004,person,65,1,1005,630,58,84,0.8484365940093994
1004,person,74,2,683,310,79,161,0.9006838202476501
1005,person,65,1,1015,635,60,80,0.8785504698753357
1005,person,74,2,688,314,78,155,0.8666408061981201
1006,person,65,1,1022,638,62,77,0.8515699505805969
1006,person,74,2,692,318,77,153,0.8732619881629944
1007,person,65,1,1027,641,67,74,0.8909943103790283
1007,person,74,2,695,321,77,158,0.8954116702079773
1008,person,65,1,1032,644,72,71,0.8777493238449097
1008,person,74,2,699,325,76,162,0.902501106262207
1009,person,65,1,1041,650,77,65,0.8657032251358032
1009,person,74,2,704,331,79,166,0.8958302140235901
1010,person,65,1,1047,655,80,60,0.8663639426231384
1010,person,74,2,708,336,80,167,0.9138301610946655
1011,person,65,1,1053,660,80,55,0.8346089720726013
1011,person,74,2,712,340,78,169,0.9117066860198975
1012,person,65,1,1060,664,77,51,0.7932149171829224
1012,person,74,2,716,344,76,171,0.9086449146270752
1013,person,65,1,1074,672,69,43,0.3995004892349243
1013,person,74,2,721,350,77,170,0.8743065595626831
1014,person,65,1,1091,679,57,36,0.4967148005962372
1014,person,74,2,725,354,77,167,0.8648749589920044
1015,person,65,1,1102,683,47,32,0.22063177824020386
1015,person,74,2,729,357,77,166,0.8679343461990356
1016,person,65,1,1109,688,43,27,0.1287795901298523
1016,person,74,2,732,360,78,163,0.9048992395401001
1017,person,74,2,736,365,80,159,0.908206045627594
1018,person,74,2,739,368,81,163,0.9085403084754944
1019,person,74,2,742,372,82,169,0.9058735370635986
1020,person,74,2,744,376,84,174,0.9012614488601685
1021,person,74,2,749,383,84,179,0.9156960248947144
1022,person,74,2,752,388,85,179,0.91749107837677
1023,person,74,2,756,393,84,180,0.9150384664535522
1024,person,74,2,759,398,85,180,0.9210236668586731
1025,person,74,2,765,404,85,180,0.9252321720123291
1026,person,74,2,769,409,85,178,0.9055557250976562
1027,person,74,2,773,412,84,176,0.9051688313484192
1028,person,74,2,777,415,83,174,0.9123460054397583
1029,person,74,2,783,420,82,169,0.9044020175933838
1030,person,74,2,788,423,81,166,0.8900002837181091
1031,person,74,2,792,427,80,162,0.9186394810676575
1032,person,74,2,796,431,79,167,0.9227234721183777
1033,person,74,2,803,437,84,174,0.9046784043312073
1034,person,74,2,808,442,89,177,0.9147583246231079
1035,person,74,2,810,446,92,179,0.9148919582366943
1036,person,74,2,811,450,92,181,0.9138738512992859
1037,person,74,2,815,456,90,181,0.9045155048370361
1038,person,74,2,818,460,90,180,0.9027153849601746
1039,person,74,2,824,464,90,177,0.8901745676994324
1040,person,74,2,833,466,87,175,0.8980893492698669
1041,person,74,2,843,471,84,170,0.9128884673118591
1042,person,74,2,849,475,84,166,0.9137226343154907
1043,person,74,2,853,478,85,173,0.906842052936554
1044,person,74,2,856,483,87,179,0.897818386554718
1045,person,74,2,861,491,89,188,0.8982592821121216
1046,person,74,2,866,496,90,193,0.9071314334869385
1047,person,74,2,870,502,91,194,0.9133343696594238
1048,person,74,2,874,508,91,193,0.9173259139060974
1049,person,74,2,881,517,92,192,0.927630603313446
1050,person,74,2,886,523,92,191,0.9103580713272095
1051,person,74,2,892,527,91,188,0.8992938995361328
1052,person,74,2,897,531,91,184,0.9034168720245361
1053,person,74,2,905,536,91,179,0.9276079535484314
1054,person,74,2,912,541,89,174,0.9172642230987549
1055,person,74,2,917,545,89,170,0.9193856716156006
1056,person,74,2,922,550,88,165,0.9085550308227539
1057,person,74,2,931,558,85,157,0.9145168662071228
1058,person,74,2,935,564,86,151,0.9047651886940002
1059,person,74,2,937,570,88,145,0.9015377759933472
1060,person,74,2,938,576,92,139,0.910558819770813
1061,person,74,2,941,585,98,130,0.8866381645202637
1062,person,74,2,944,591,103,124,0.8924615979194641
1063,person,74,2,949,596,105,119,0.9002543687820435
1064,person,74,2,968,600,93,115,0.8532285690307617
1065,person,74,2,982,608,91,107,0.9026466012001038
1066,person,74,2,990,613,91,102,0.9114090800285339
1067,person,74,2,995,618,93,97,0.8693883419036865
1068,person,74,2,999,623,95,92,0.8717766404151917
1069,person,74,2,1006,634,98,81,0.8752339482307434
1070,person,74,2,1011,641,101,74,0.8794801235198975
1071,person,74,2,1016,648,103,67,0.8808966875076294
1072,person,74,2,1022,656,103,59,0.8673617243766785
1073,person,74,2,1037,668,99,47,0.7291285991668701
1074,person,74,2,1052,674,92,41,0.3619029223918915
